Sample	Animal	Individual
A1	Angelfish	568
A2	Angelfish	581
A3	Angelfish	611
A4	Angelfish	E03
D1	Giant_panda	Yaya
D2	Giant_panda	Yaya
D3	Giant_panda	Yaya
D4	Giant_panda	Yaya
D5	Giant_panda	Yaya
E1	Horse	723
E2	Horse	728
E3	Horse	728
E4	Horse	728
E5	Horse	728
E6	Horse	728
F1	Cow	5013_1yr
F2	Cow	5015_1yr
F3	Cow	5017_1yr
F4	Cow	5020_1yr
F5	Cow	5022_1yr
F6	Cow	5054_1yr
I1	Sloth	F21
I2	Sloth	F22
I3	Sloth	F3
I4	Sloth	F4
I5	Sloth	F5
I6	Sloth	F7
J1	Red_panda	Justin
J2	Red_panda	Justin
J3	Red_panda	Justin
J4	Red_panda	Justin
J5	Red_panda	Justin
J6	Red_panda	Justin
K1	Giant_panda	Lele
K2	Giant_panda	Lele
K3	Giant_panda	Lele
K4	Giant_panda	Lele
K5	Giant_panda	Lele
M1	Human	222
M2	Human	241
M3	Human	265
M4	Human	266
M5	Human	267
M6	Human	289
N1	Rhino	SDGF349
N2	Rhino	SDGF349
N3	Rhino	SDGF349
N4	Rhino	SDGF349
N5	Rhino	SDGF349
N6	Rhino	SDGF349
O1	Angelfish	E05
O2	Angelfish	E1
O3	Angelfish	E2
O4	Angelfish	E3
P1	Cow	5055_1yr
P2	Cow	5057_1yr
P3	Cow	5058_1yr
P4	Cow	5059_1yr
P5	Cow	5062_1yr
P6	Cow	5063_1yr
S1	Sloth	F13
S2	Sloth	F15
S3	Sloth	F16
S4	Sloth	F17
S5	Sloth	F18
S6	Sloth	F19
T1	Horse	1106
T2	Horse	1106
T3	Horse	1106
T4	Horse	1106
T5	Horse	630
T6	Horse	707
U1	Rhino	SDGF349
U2	Rhino	SDGF372
U3	Rhino	SDGF372
U4	Rhino	SDGF372
U5	Rhino	SDGF372
U6	Rhino	SDGF372
V1	Human	292
V2	Human	301
V3	Human	302
V4	Human	307
V5	Human	311
V6	Human	332
