OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Otu00001	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu00002	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_unclassified
Otu00003	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacteriaceae_unclassified	Enterobacteriaceae_unclassified
Otu00004	Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	Turicibacter_unclassified
Otu00005	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_unclassified
Otu00006	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacteriaceae_unclassified	Enterobacteriaceae_unclassified
Otu00007	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_unclassified
Otu00008	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus
Otu00009	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	celatum
Otu00010	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacteriaceae_unclassified	Enterobacteriaceae_unclassified
Otu00011	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu00012	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_unclassified
Otu00013	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu00014	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu00015	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila
Otu00016	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu00017	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	geniculata
Otu00018	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_unclassified
