Date	CostperMb	Production(Mb)	CostperGenome
2001-09-30	5,292.39 	16,200	95,263,072 
2002-03-31	3,898.64 	16,111	70,175,437 
2002-09-30	3,413.80 	18,734	61,448,422 
2003-03-31	2,986.20 	23,045	53,751,684 
2003-10-31	2,230.98 	38,344	40,157,554 
2004-01-31	1,598.91 	17,862	28,780,376 
2004-04-30	1,135.70 	21,245	20,442,576 
2004-07-31	1,107.46 	22,233	19,934,346 
2004-10-31	1,028.85 	25,396	18,519,312 
2005-01-31	974.16 	24,899	17,534,970 
2005-04-30	897.76 	25,823	16,159,699 
2005-07-31	898.90 	29,785	16,180,224 
2005-10-31	766.73 	30,831	13,801,124 
2006-01-31	699.20 	29,964	12,585,659 
2006-04-30	651.81 	33,020	11,732,535 
2006-07-31	636.41 	32,866	11,455,315 
2006-10-31	581.92 	33,746	10,474,556 
2007-01-31	522.71 	32,713	9,408,739 
2007-04-30	502.61 	30,135	9,047,003 
2007-07-31	495.96 	29,927	8,927,342 
2007-10-31	397.09 	30,363	7,147,571 
2008-01-31	102.13 	92,987	3,063,820 
2008-04-30	15.03 	347,572	1,352,982 
2008-07-31	8.36 	682,807	752,080 
2008-10-31	3.81 	1,579,158	342,502 
2009-01-31	2.59 	1,969,911	232,735 
2009-04-30	1.72 	3,694,856	154,714 
2009-07-31	1.20 	9,645,049	108,065 
2009-10-31	0.78 	10,492,958	70,333 
2010-01-31	0.52 	17,784,582	46,774 
2010-04-30	0.35 	27,543,006	31,512 
2010-07-31	0.35 	39,436,407	31,125 
2010-10-31	0.32 	50,917,456	29,092 
2011-01-31	0.23 	61,754,444	20,963 
2011-04-30	0.19 	72,920,050	16,712 
2011-07-31	0.12 	86,550,037	10,497 
2011-10-30	0.09 	104,787,021	7,743 
2012-01-31	0.09 	84,739,055	7,666 
2012-04-30	0.07 	63,573,558	5,901 
2012-07-31	0.07 	57,667,068	5,985 
2012-10-31	0.07 	93,461,255	6,618 
2013-01-31	0.06 	97,398,912	5,671 
2013-04-30	0.06 	99,755,310	5,550 
2013-07-31	0.06 	89,779,128	5,550 
2013-10-31	0.06 	145,773,433	5,096 
2014-01-31	0.04 	184,102,368	4,008 
2014-04-30	0.05 	118,688,007	4,920 
2014-07-31	0.05 	112,259,041	4,905 
2014-10-31	0.06 	55,743,515	5,731 
2015-01-31	0.04 	103,798,746	3,970 
2015-04-30	0.05 	125,943,351	4,211 
2015-07-31	0.02 	680,351,188	1,363 
2015-10-31	0.01 	414,511,886	1,245 
2016-04-30	0.01 	915,724,433	1,297 
2016-07-31	0.03 	320,940,601	2,257 
2016-10-31	0.02 	848,170,516	1,356 
2017-01-31	0.01 	954,511,868	1,015 
2017-04-30	0.02 	839,005,369	1,323 
2017-07-31	0.01 	743,402,711	1,121 
